------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 05:51AM on August 19, 2022
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
      0   -0.1278754598    0.0000000000    0.0000000000             nan             nan             nan
      1   -0.2705370245    0.1047322475    0.0000000000   -0.0564103078    1.6371276683    5.3592825738
      2   -0.9745748372    0.0375694452   -0.6272373927   -3.1325810834    1.7635328637    1.3383939283
      3   -1.0237424579    0.1955874704   -0.6199860381   -4.1579713419    1.8056679289   -0.0019022868
      4   -1.0168008055    0.2158839694   -0.5920794775   -4.6706664712    1.8267354614   -0.6720503944
      5   -1.0404988237    0.2068513762   -0.6154473976   -4.9782835488    1.8393759810   -1.0741392589
      6   -1.0890654284    0.2015407394   -0.6768517200   -5.1833616005    1.8478029940   -1.3421985020
      7   -1.1488056140    0.2026350807   -0.7605217697   -5.3298459231    1.8538222890   -1.5336693898
      8   -1.2116390753    0.2076362496   -0.8579056542   -5.4397091651    1.8583367603   -1.6772725557
      9   -1.2737987036    0.2145332743   -0.9650777196   -5.5251583533    1.8618480157   -1.7889639070
     10   -1.3337693080    0.2222968196   -1.0803649199   -5.5935177039    1.8646570201   -1.8783169880
     11   -1.3910497905    0.2304903561   -1.2030745119   -5.6494480816    1.8669552964   -1.9514240543
     12   -1.4455441691    0.2389363825   -1.3329064837   -5.6960567297    1.8688705266   -2.0123466095
     13   -1.4972958490    0.2475419572   -1.4697072050   -5.7354948166    1.8704911060   -2.0638964640
     14   -1.5463845562    0.2562287671   -1.6133754128   -5.7692988911    1.8718801741   -2.1080820535
     15   -1.5928925802    0.2649135391   -1.7638303502   -5.7985957556    1.8730840331   -2.1463762310
     16   -1.6368974167    0.2735079186   -1.9210028921   -5.8242305121    1.8741374097   -2.1798836364
     17   -1.6784728874    0.2819237392   -2.0848340175   -5.8468494148    1.8750668597   -2.2094489941
     18   -1.7176919635    0.2900783138   -2.2552749361   -5.8669551062    1.8758930374   -2.2357293120
     19   -1.7546291010    0.2978981881   -2.4322870872   -5.8849444089    1.8766322491   -2.2592432807
     20   -1.7922378952    0.3108221772   -2.5617628478   -5.9011347814    1.8772975396   -2.2804058526
     21   -1.8278256595    0.3237253082   -2.6897723608   -5.9157832137    1.8778994691   -2.2995529413
     22   -1.8616214959    0.3368561604   -2.8128903551   -5.9290999703    1.8784466778   -2.3169593857
     23   -1.8937095204    0.3501963391   -2.9303222929   -5.9412587481    1.8789463030   -2.3328522262
     24   -1.9256589289    0.3635566538   -3.0402391931   -5.9524042944    1.8794042929   -2.3474206633
     25   -1.9544088856    0.3735386113   -3.1834028656   -5.9626581970    1.8798256435   -2.3608236255
     26   -1.9848888460    0.3868743045   -3.2802447182   -5.9721233378    1.8802145826   -2.3731955905
